Sample_ID,A_1_URE_LMR_MN_USB_00_00_00.csv,A_3_URE_LMR_MN_USB_03_15_19.csv,A_4_URE_LMR_MN_USB_03_18_19.csv,B_1_URE_LMR_MN_USB_03_18_19.csv,C_1_URE_LMR_MN_USB_04_02_19.csv
MN-0953,192.21848871959884,,,,
MN-0954,229.9216886989259,,,,
MN-0955,366.169438257472,,,,
MN-0956,127.6897845985012,,,,
MN-0957,93.02865209916878,,,,
MN-0958,213.05204176441035,,,,
MN-0959,181.70952833416294,,,,
MN-0960,189.8217082808152,,,,
MN-0961,197.56515277534695,,,,
MN-0962,189.72952441778506,,,,
MN-0963,115.79806626761324,,,,
MN-0964,241.44467157769333,,,,
MN-0965,134.60357432576168,,,,
MN-0966,205.95388431108958,,,,
MN-0967,213.69732880562134,,,,
MN-0968,199.50101389897986,,,,
MN-0969,117.27300807609546,,,,
MN-0970,147.14057969786063,,,,
MN-0971,155.06839191845262,,,,
MN-0972,113.49346969185974,,,,
MN-0973,189.17642123960422,,,,
MN-0974,146.21874106755925,,,,
MN-0975,107.40933473187053,,,,
MN-0976,146.31092493058938,,,,
MN-0977,139.2127674772686,,,,
MN-0978,92.75210051007835,,,,
MN-0979,131.00840366758624,,,,
MN-0980,135.52541295606304,,,,
MN-0981,,,,147.51255330442658,
MN-0982,,,,111.31381534260031,
MN-0983,,,,177.35770215517013,
MN-0984,,,,111.98261419639849,
MN-0985,,,,203.52445731002382,
MN-0986,,,,134.63817536881172,
MN-0987,,,,148.76655115529815,
MN-0988,,,,98.5230372637102,
MN-0989,,,,99.60983540113223,
MN-0990,,,,79.88026921408604,
MN-0991,,,,125.69299069926107,
MN-0992,,,,89.99585187778345,
MN-0993,,,,x_51.37271807093879,128.32779029990917
MN-0994,,,,134.13657622846307,
MN-0995,,,,168.91411662596818,
MN-0996,,,,169.83371504994068,
MN-0997,,,,246.8291830934557,
MN-0998,,,,190.73367923113366,
MN-0999,,,,139.15256763194938,
MN-1000,,,,157.79533568157353,
MN-1001,,,,59.73270374341598,
MN-1002,,,,45.10272881658089,
MN-1003,,,,41.842334404314784,
MN-1004,,,,15.759179106185936,
MN-1005,,,,106.46502365256353,
MN-1006,,,,27.797558474553103,
MN-1007,,,,58.47870589254442,
MN-1008,,,,25.79116191315857,
MN-1009,,40.24800166274011,,,
MN-1010,,56.94925184579821,,,
MN-1011,,101.9403747879139,,,
MN-1012,,66.23719199862134,,,
MN-1013,,19.201018013682194,,,
MN-1014,,19.030597093446907,,,
MN-1015,,51.325361478033734,,,
MN-1016,,77.82581457462082,,,
MN-1017,,159.7130667476761,,,
MN-1018,,39.0550552210931,,,
MN-1019,,55.92672632438648,,,
MN-1020,,39.907159822269534,,,
MN-1021,,x_32.74948117238748,nan,,36.027953413177954
MN-1022,,27.97769540579946,,,
MN-1023,,41.0148958037989,,,
MN-1024,,50.728888257210244,,,
MN-1025,,71.43503006579758,,,
MN-1026,,80.21170745791484,,,
MN-1027,,29.681904608152326,,,
MN-1028,,42.293052705563554,,,
MN-1029,,30.448798749211115,,,
MN-1030,,48.51341629415151,,,
MN-1031,,20.564385375564484,,,
MN-1032,,68.11182212120949,,,
MN-1033,,60.8689330112098,,,
MN-1034,,63.595667734974384,,,
MN-1035,,124.35072579885411,,,
MN-1036,,69.04913718250357,,,
MN-1037,,,51.021537881095114,,
MN-1038,,,45.47592727680127,,
MN-1039,,,80.13599355363786,,
MN-1040,,,99.45320382526144,,
MN-1041,,,41.501573010390665,,
MN-1042,,,54.071623713456745,,
MN-1043,,,75.88435875701256,,
MN-1044,,,135.961806970196,,
MN-1045,,,68.76749181483545,,
MN-1046,,,105.5533754899847,,
MN-1047,,,51.7609526283343,,
MN-1048,,,39.46818245548292,,
MN-1323,,,83.00122569918969,,
MN-1324,,,62.75974699351711,,
MN-1325,,,79.11929827618397,,
MN-1326,,,80.69055461406724,,
MN-1327,,,70.8008823697432,,
MN-1328,,,72.74184608124605,,
MN-1329,,,87.53014102602967,,
MN-1330,,,71.91000449060198,,
MN-1331,,,59.3399537875359,,
MN-1332,,,63.4991617407563,,
MN-1333,,,70.06146762250403,,
MN-1334,,,74.77523663615379,,
