Sample_ID,0,1,2,3,4,5,6,7,8,9,10
I-0689,,,26681.372149961477,43370.325546549226,,,,,,,
I-0690,,,39846.40356692218,128344.79198079203,,,,,,,
I-0691,,,30779.98083709553,43576.34541523728,,,,,,,
I-0692,,,23870.897621640986,86634.4979710392,,,,,,,
I-0693,,,47642.828007018485,93453.75562461358,,,,,,,
I-0694,,,23285.382094907545,51240.28453043264,,,,,,,
I-0695,,,23988.00072698767,64569.77003454932,,,,,,,
I-0696,,,24690.619359067794,55546.09978601283,,,,,,,
I-0697,,,53849.292590392906,88674.09467105086,,,,,,,
I-0698,,,32419.424311949148,73078.39061136568,,,,,,,
I-0699,,,26915.578360654847,61870.9097547359,,,,,,,
I-0700,,,24222.206937681043,48438.4143162752,,,,,,,
I-0701,,,69775.31491754236,45883.7679445434,,,,,,,
I-0702,,,80314.59439874422,66568.16276082337,,,,,,,
I-0703,,,66964.84038922188,28825.32281717307,,,,,,,
I-0704,,,57479.48885614021,60882.014385033275,,,,,,,
I-0705,,,86989.47140350539,53053.25937488748,,,,,,,
I-0706,,,62163.613070007705,42587.45004553465,,,,,,,
I-0707,,,54551.91122247303,66382.74487900414,,,,,,,
I-0708,,,49633.580797912175,43143.70369099238,,,,,,,
I-0709,76380.09352348221,,51624.33358880585,72439.72901843273,,,79171.13808945584,,76380.09352348221,,
I-0710,,,42724.49758245762,58389.173973907884,,,,,,,
I-0711,,,32770.733627989204,36757.0877616629,,,,,,,
I-0712,62831.32961793618,,59001.82922564715,40918.68910916147,,,66542.23316274639,,62831.32961793618,,
I-0713,5393.834770493203,2566.0984610368682,,,5527.532353531313,2310.3274856403373,6294.246356426086,622.9059180950701,5393.834770493203,,
I-0714,5741.238973199511,2459.872758554701,,,5416.461598648533,1862.7266060821717,6989.415434960549,354.2443109653762,5741.238973199511,6556.402265465217,
I-0715,4699.0263650805855,2353.6470560725325,,,5971.815373062425,1638.9261663030886,8032.169052762248,305.3967460327046,4699.0263650805855,,
I-0716,4235.820761472175,2077.4602296188955,,,5971.815373062425,2658.461503074467,6410.107869515163,-36.53620849599707,4235.820761472175,,
I-0717,3656.813756961661,2056.2150891224624,,,2639.692726579081,2683.3282186054766,70713.24763395317,-329.6215980920268,3656.813756961661,4645.111246829265,
I-0718,4467.42356327638,2141.1956511081967,,,4416.824804703531,2633.5947875434576,6989.41543496055,-427.31672795737,4467.42356327638,8017.977750304476,
I-0719,4699.0263650805855,2056.2150891224624,,,4527.89555958631,2882.2619428535504,5946.661817158852,-305.1978156256913,4699.0263650805855,7118.546682711087,
I-0720,5162.231968688997,3415.9040808942145,,,5305.390843765757,4374.264874714104,6757.692408782394,940.4150901574349,5162.231968688997,,
I-0721,4467.42356327638,2396.1373370653996,,,7193.5936767729845,3081.195667101624,6989.41543496055,36.73513890301035,4467.42356327638,7568.262216507782,
I-0722,4120.019360570072,5922.830659473381,,,7971.088960952431,6463.068979318879,6062.52333024793,1355.6193920851435,4120.019360570072,,
I-0723,8288.869793045773,32585.48198249757,,,8193.230470717988,32349.31984709949,11739.737471612725,22579.88635533096,8288.869793045773,,
I-0724,5741.238973199511,3947.032593305054,,,5416.461598648533,4598.065314493187,8379.75359202948,-744.8259000197355,5741.238973199511,7118.546682711087,
I-0725,5278.0333695911,1397.6157337330199,,,6860.381412124649,3528.7965466597902,7916.307539673168,-12.112426029661268,5278.0333695911,,
I-0726,4235.820761472175,1482.5962957187542,,,4194.683294937975,2882.2619428535504,5714.938790980697,-354.0453805583629,4235.820761472175,4757.5401302784385,
I-0727,5278.0333695911,2226.1762130939305,,,7526.8059414213185,3130.9290981636427,6989.415434960549,-12.112426029661268,5278.0333695911,,
I-0728,3656.8137569616615,2077.4602296188955,,,5305.3908437657565,2733.0616496674947,6873.553921871472,-354.0453805583629,3656.8137569616615,,
I-0729,3077.8067524511475,1673.8025601866564,,,3306.117255875749,2608.728072012448,8148.030565851324,-427.31672795737,3077.8067524511475,,
I-0730,5162.231968688997,1461.3511552223208,,,5305.390843765757,2907.128658384559,74884.26210515997,-451.7405104237055,5162.231968688997,,
I-0731,4004.2179596679694,2332.4019155760993,,,5527.532353531314,3081.195667101624,4672.185173178998,-36.53620849599707,4004.2179596679694,,
I-0732,3772.615157863763,2268.6664940867986,,,8415.371980483544,2708.1949341364852,4672.185173178998,-305.1978156256913,3772.615157863763,5432.113430973481,5773.899956074208
I-0733,4235.820761472175,2417.382477561833,,,6749.310657241872,2907.128658384559,5946.661817158852,-207.50268576034773,4235.820761472175,5769.400081321001,
I-0734,2846.203950646942,2013.7248081295947,,,3639.329520524084,2509.261209888411,3629.431555377301,-525.0118578227128,2846.203950646942,,
I-0735,3888.4165587658663,3777.0714693335854,,,973.6314033374084,4274.798012590067,4672.185173178998,1306.771827152472,3888.4165587658663,5544.542314422653,5433.61231532864
I-0736,3772.6151578637646,2013.7248081295947,,,4527.89555958631,2583.8613564814386,5251.492738624387,-549.4356402890487,3772.6151578637646,,9517.064004275448
